timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-18T17:31:21.833+02:00,33.0402,6,move:named:Down,1,0,3.86,-21.35,40.69,-66.18,-4.3,1.66,153.4,-62.6,284.5,-136.71,-1.99,-90.29
2026-02-18T17:31:24.371+02:00,35.5781,6,move:named:Down,1,0,3.86,-21.35,40.6,-66.18,-3.25,1.66,153.4,-60.3,284.3,-136.84,-1.23,-89.57
2026-02-18T17:31:27.425+02:00,38.632,7,move:home,1,0,10.1,-65.91,131.92,-65.21,-8.43,0.7,148.5,-56.6,292.0,-89.21,0.81,-88.31
2026-02-18T17:31:29.963+02:00,41.1698,7,move:home,1,0,10.1,-65.91,131.92,-65.47,-9.31,0.43,148.9,-58.5,291.4,-89.47,0.52,-89.2
2026-02-18T17:31:33.019+02:00,44.2261,8,move:named:Left,1,0,88.68,27.42,73.82,-98.78,-45.35,0.52,151.3,-63.5,289.2,-88.26,2.27,-46.62
2026-02-18T17:31:35.557+02:00,46.7642,8,move:named:Left,1,0,88.68,27.42,73.82,-99.22,-45.35,0.52,151.3,-62.9,288.6,-88.57,1.96,-46.63
2026-02-18T17:31:38.095+02:00,49.3019,8,move:named:Left,1,0,88.68,27.42,73.82,-99.4,-45.35,0.52,151.3,-62.6,288.3,-88.7,1.84,-46.64
2026-02-18T17:31:40.634+02:00,51.8407,8,move:named:Left,1,0,88.68,27.42,73.82,-99.49,-45.35,0.52,151.3,-62.5,288.2,-88.76,1.77,-46.64
2026-02-18T17:31:43.195+02:00,54.4018,8,move:named:Left:near_target,1,0,88.68,27.42,73.82,-99.49,-45.35,0.52,151.3,-62.5,288.2,-88.76,1.77,-46.64
2026-02-18T17:31:46.248+02:00,57.4554,9,move:home,1,0,33.83,-47.81,131.92,-84.81,-35.5,0.35,150.2,-63.4,288.9,-90.57,-0.05,-91.67
2026-02-18T17:31:48.786+02:00,59.9933,9,move:home,1,0,33.83,-47.81,131.92,-84.46,-34.8,0.26,149.8,-62.1,289.6,-90.28,0.06,-90.96
2026-02-18T17:31:51.842+02:00,63.0487,10,move:named:Right,1,0,91.31,-75.14,131.04,-53.52,-135.52,-0.08,152.7,-62.0,284.6,-91.69,1.57,-134.31
2026-02-18T17:31:54.379+02:00,65.5862,10,move:named:Right,1,0,91.31,-75.14,131.04,-53.96,-136.31,-0.08,151.6,-62.6,285.2,-91.39,1.24,-135.01
2026-02-18T17:31:56.917+02:00,68.1243,10,move:named:Right,1,0,91.31,-75.14,131.04,-54.22,-136.66,-0.08,151.0,-62.8,285.7,-91.21,1.05,-135.36
2026-02-18T17:31:59.455+02:00,70.662,10,move:named:Right,1,0,91.31,-75.14,131.04,-54.31,-136.84,-0.08,150.7,-62.9,285.8,-91.15,0.99,-135.53
2026-02-18T17:32:02.007+02:00,73.2144,10,move:named:Right:near_target,1,0,91.31,-75.14,131.04,-54.4,-136.93,-0.08,150.6,-63.0,285.9,-91.09,0.93,-135.62
2026-02-18T17:32:05.062+02:00,76.2692,11,move:home,1,0,33.83,-48.42,131.92,-85.16,-36.29,-0.08,151.9,-63.9,287.4,-91.34,-1.07,-92.44
2026-02-18T17:32:07.600+02:00,78.8075,11,move:home,1,0,33.83,-48.42,131.92,-84.63,-35.24,-0.08,151.4,-62.0,288.3,-90.93,-0.74,-91.39
2026-02-18T17:32:10.659+02:00,81.8665,12,move:named:UP,1,0,88.94,-72.59,141.67,20.91,-44.12,-87.71,149.7,-62.1,288.6,-44.09,1.59,-89.41
2026-02-18T17:32:13.198+02:00,84.4049,12,move:named:UP,1,0,88.94,-72.59,141.67,20.47,-44.12,-87.71,149.7,-61.4,289.2,-44.11,1.15,-89.41
2026-02-18T17:32:15.735+02:00,86.9422,12,move:named:UP,1,0,88.94,-72.59,141.67,20.03,-44.38,-87.71,150.1,-60.7,289.4,-44.38,0.71,-89.42
