timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-19T09:03:02.903+02:00,52.6714,4,move:home,0,0,10.72,-66.62,131.92,-66.18,-10.01,0.0,152.3,-57.9,288.2,-90.86,-0.15,-89.29
2026-02-19T09:03:07.116+02:00,56.8852,5,move:named:Left:edited,0,0,-24.52,-88.68,121.64,-32.87,33.66,0.0,150.4,-61.8,289.5,-89.92,-0.04,-80.85
2026-02-19T09:03:10.193+02:00,59.9623,6,move:named:Left:edited,0,0,-36.91,-95.36,108.89,-13.27,56.25,0.0,150.0,-61.4,289.6,-89.85,-0.21,-70.66
2026-02-19T09:03:13.270+02:00,63.0386,7,move:named:Left:edited,0,0,-42.09,-96.85,94.57,1.93,71.71,0.0,151.1,-61.3,288.7,-90.11,0.33,-60.38
2026-02-19T09:03:16.345+02:00,66.114,8,move:named:Left:edited,0,0,-44.29,-95.18,78.48,16.52,83.84,0.0,151.1,-61.6,288.2,-90.01,0.17,-50.44
2026-02-19T09:03:19.419+02:00,69.1879,9,move:named:Left:edited,0,0,-44.29,-93.16,69.52,23.37,89.03,-0.26,151.6,-61.0,288.1,-90.0,0.0,-45.26
2026-02-19T09:03:25.093+02:00,74.8621,10,move:home,0,0,10.1,-66.62,131.92,-65.65,-9.31,-0.26,151.0,-58.1,289.4,-90.34,-0.32,-89.2
2026-02-19T09:03:28.179+02:00,77.9481,11,move:named:Down:edited,0,0,9.4,-54.58,118.56,-74.35,-9.31,1.05,150.9,-59.8,288.8,-100.23,-0.63,-89.94
2026-02-19T09:03:31.672+02:00,81.4405,12,move:named:Down:edited,0,0,7.11,-45.61,101.68,-76.55,-7.47,2.02,150.9,-61.3,288.7,-110.3,-0.68,-90.5
2026-02-19T09:03:34.768+02:00,84.5373,13,move:named:Down:edited,0,0,5.18,-37.0,81.82,-75.49,-4.83,2.28,150.7,-60.6,288.1,-120.55,-0.49,-90.13
2026-02-19T09:03:37.854+02:00,87.6227,14,move:named:Down:edited,0,0,3.86,-26.8,56.6,-70.31,-3.16,2.28,150.5,-60.3,288.6,-130.44,-0.31,-90.02
2026-02-19T09:03:40.939+02:00,90.7077,15,move:named:Down:edited,0,0,3.51,-18.36,35.85,-63.54,-2.46,2.28,150.9,-59.6,289.2,-136.0,-0.18,-89.83
2026-02-19T09:03:46.035+02:00,95.8037,16,move:home,0,0,10.1,-66.09,131.92,-65.47,-9.31,0.52,149.3,-58.4,291.0,-89.65,0.58,-89.2
