timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-19T09:34:16.768+02:00,6.9945,4,move:home:edited,0,0,3.95,-86.13,123.75,-38.75,-2.54,-0.43,182.8,-56.5,287.2,-91.14,-0.49,-88.58
2026-02-19T09:34:19.847+02:00,10.0731,5,move:named:Left:edited,0,0,-15.64,-93.6,114.08,-21.0,24.78,-0.35,181.3,-61.9,288.2,-90.47,-0.13,-80.85
2026-02-19T09:34:22.924+02:00,13.1496,6,move:named:Left:edited,0,0,-27.24,-96.67,100.89,-4.74,46.84,-0.26,181.1,-61.5,288.3,-90.36,0.12,-70.39
2026-02-19T09:34:25.999+02:00,16.2255,7,move:named:Left:edited,0,0,-33.31,-96.41,85.42,10.28,63.01,-0.17,182.0,-61.5,287.4,-90.31,0.45,-60.29
2026-02-19T09:34:29.077+02:00,19.303,8,move:named:Left:edited,0,0,-36.56,-92.63,66.7,25.57,76.11,-0.17,181.7,-61.9,287.3,-90.08,0.16,-50.44
2026-02-19T09:34:32.151+02:00,22.3773,9,move:named:Left:edited,0,0,-37.08,-89.2,55.45,32.87,82.0,-0.17,182.2,-61.3,287.3,-90.12,0.69,-45.08
2026-02-19T09:34:35.228+02:00,25.4539,10,move:home:edited,0,0,3.51,-86.22,123.66,-38.23,-2.28,-0.17,182.1,-57.3,288.0,-90.79,-0.2,-88.76
2026-02-19T09:34:38.303+02:00,28.5293,11,move:named:Down:edited,0,0,3.51,-71.54,113.81,-52.99,-2.81,0.43,181.2,-58.5,287.6,-100.7,-0.09,-89.32
2026-02-19T09:34:41.378+02:00,31.6044,12,move:named:Down:edited,0,0,3.42,-59.15,98.7,-59.67,-2.81,0.87,181.1,-58.8,289.1,-110.1,-0.14,-89.51
2026-02-19T09:34:44.455+02:00,34.681,13,move:named:Down:edited,0,0,3.07,-47.81,79.27,-62.05,-2.81,1.14,181.3,-59.9,288.0,-120.54,-0.44,-89.92
2026-02-19T09:34:47.533+02:00,37.7592,14,move:named:Down:edited,0,0,2.72,-35.15,52.99,-58.79,-2.72,1.31,181.1,-60.8,287.3,-130.9,-0.78,-90.19
2026-02-19T09:34:50.610+02:00,40.8363,15,move:named:Down:edited,0,0,2.46,-24.43,29.35,-51.32,-2.02,1.31,181.0,-60.1,288.2,-136.37,-0.55,-89.88
2026-02-19T09:34:53.687+02:00,43.9133,16,move:home:edited,0,0,3.42,-85.86,123.66,-37.79,-2.46,0.7,180.5,-58.1,290.0,-90.0,0.7,-89.03
2026-02-19T09:34:56.757+02:00,46.9831,17,move:named:Right:edited,0,0,34.36,-73.65,130.34,-56.95,-43.85,0.43,181.1,-58.3,289.6,-90.19,0.25,-99.49
2026-02-19T09:34:59.835+02:00,50.0611,18,move:named:Right:edited,0,0,65.03,-64.77,132.09,-67.14,-84.63,0.35,180.4,-58.8,290.3,-89.98,0.52,-109.59
2026-02-19T09:35:02.911+02:00,53.1375,19,move:named:Right:edited,0,0,64.95,-77.16,129.46,-51.24,-94.57,0.26,179.4,-61.4,289.3,-90.08,1.31,-119.62
2026-02-19T09:35:05.988+02:00,56.2141,20,move:named:Right:edited,0,0,61.34,-88.68,121.55,-32.78,-101.51,0.26,179.5,-60.3,289.4,-90.01,0.34,-130.16
2026-02-19T09:35:09.063+02:00,59.2888,21,move:named:Right:edited,0,0,58.71,-92.98,115.31,-22.06,-104.5,0.26,179.8,-60.1,289.1,-90.06,0.51,-135.79
2026-02-19T09:35:12.145+02:00,62.371,22,move:home,0,0,33.83,-48.42,132.01,-84.55,-35.5,0.26,151.2,-62.7,288.5,-90.78,-0.29,-91.66
2026-02-19T09:35:15.230+02:00,65.4558,23,move:named:UP:edited,0,0,3.77,-102.39,128.58,-16.69,-4.65,-0.35,181.0,-61.8,288.3,-80.53,0.42,-90.87
2026-02-19T09:35:18.310+02:00,68.5364,24,move:named:UP:edited,0,0,3.33,-116.98,125.68,11.16,-3.6,-0.79,180.1,-60.9,289.2,-70.17,0.47,-90.31
2026-02-19T09:35:21.389+02:00,71.6155,25,move:named:UP:edited,0,0,2.98,-125.68,116.01,39.19,-2.72,-1.05,181.3,-59.9,288.5,-60.5,0.42,-89.9
2026-02-19T09:35:24.478+02:00,74.7043,26,move:named:UP:edited,0,0,2.54,-127.17,101.6,65.83,-2.02,-1.23,179.5,-59.9,289.4,-49.77,0.36,-89.78
2026-02-19T09:35:27.574+02:00,77.7998,27,move:named:UP:edited,0,0,2.46,-126.21,92.72,78.22,-1.75,-1.23,181.1,-59.5,287.7,-45.28,0.36,-89.65
2026-02-19T09:35:30.688+02:00,80.9143,28,move:home:edited,0,0,3.42,-86.13,123.66,-38.93,-1.84,-0.7,182.7,-56.6,286.7,-91.4,-0.74,-88.4
