timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-19T09:30:37.726+02:00,30.6562,4,move:home:edited,0,0,3.77,-86.13,123.66,-38.05,-4.48,-0.26,182.0,-61.3,288.6,-90.52,-0.3,-90.7
2026-02-19T09:30:40.795+02:00,33.7254,5,move:named:Left:edited,0,0,-15.46,-93.69,114.08,-20.91,25.22,-0.26,181.4,-60.4,288.0,-90.47,-0.03,-80.24
2026-02-19T09:30:43.872+02:00,36.8025,6,move:named:Left:edited,0,0,-27.15,-96.67,100.89,-4.83,47.9,-0.26,180.5,-59.1,288.2,-90.41,0.19,-69.25
2026-02-19T09:30:46.948+02:00,39.878,7,move:named:Left:edited,0,0,-33.31,-96.32,85.42,10.37,63.8,-0.17,180.8,-59.8,287.8,-90.23,0.29,-59.5
