timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-19T09:56:59.158+02:00,7.7737,4,wait:500ms,1,0,9.4,-117.15,55.98,-29.97,-1.4,-0.96,262.3,-23.9,0.0,178.83,-1.38,-79.6
2026-02-19T09:57:02.540+02:00,11.1555,5,move:home:edited,1,0,3.86,-86.13,123.66,-38.93,-2.54,-0.52,183.1,-56.7,286.7,-91.4,-0.58,-88.66
2026-02-19T09:57:05.616+02:00,14.2321,6,move:named:Left:edited,1,0,-7.11,-90.35,119.61,-29.7,11.07,-0.35,180.9,-62.1,288.3,-90.43,-0.26,-86.04
2026-02-19T09:57:08.691+02:00,17.3067,7,move:named:Left:edited,1,0,-15.64,-93.69,114.08,-20.74,25.22,-0.26,181.0,-60.9,288.4,-90.31,-0.11,-80.41
2026-02-19T09:57:11.766+02:00,20.3821,8,move:named:Left:edited,1,0,-22.23,-95.71,107.84,-12.65,37.61,-0.26,180.7,-59.5,288.2,-90.41,0.05,-74.61
2026-02-19T09:57:14.840+02:00,23.4558,9,move:named:Left:edited,1,0,-27.24,-96.59,100.81,-4.65,47.72,-0.26,180.3,-59.6,288.6,-90.29,0.06,-69.52
2026-02-19T09:57:17.913+02:00,26.529,10,move:named:Left:edited,1,0,-30.67,-96.59,93.6,3.33,55.63,-0.17,179.7,-59.7,289.8,-89.8,-0.46,-65.04
2026-02-19T09:57:20.988+02:00,29.6039,11,move:named:Left:edited,1,0,-33.48,-96.41,85.42,10.28,63.19,-0.17,181.6,-61.7,287.4,-90.31,0.45,-60.29
2026-02-19T09:57:24.062+02:00,32.6778,12,move:named:Left:edited,1,0,-35.24,-94.74,76.64,18.01,70.04,-0.17,180.8,-60.8,288.3,-90.02,-0.09,-55.19
2026-02-19T09:57:27.137+02:00,35.7524,13,move:named:Left:edited,1,0,-36.38,-92.54,66.7,25.48,76.11,-0.17,181.8,-61.2,287.5,-90.08,0.16,-50.27
2026-02-19T09:57:30.212+02:00,38.8276,14,move:named:Left:edited,1,0,-37.44,-89.2,55.45,33.04,82.0,-0.17,181.6,-62.3,287.3,-90.09,0.52,-45.43
2026-02-19T09:57:33.287+02:00,41.903,15,move:home:edited,1,0,3.51,-86.22,123.66,-38.23,-2.19,-0.17,182.1,-57.1,288.0,-90.79,-0.2,-88.67
2026-02-19T09:57:36.362+02:00,44.9778,16,move:named:Down:edited,1,0,3.51,-71.54,113.81,-52.99,-2.81,0.43,181.2,-58.5,287.6,-100.7,-0.09,-89.32
2026-02-19T09:57:39.437+02:00,48.0523,17,move:named:Down:edited,1,0,3.42,-59.15,98.7,-59.94,-2.81,0.87,181.2,-58.8,288.4,-110.36,-0.15,-89.51
2026-02-19T09:57:42.513+02:00,51.1288,18,move:named:Down:edited,1,0,2.98,-47.81,79.27,-62.05,-2.81,1.14,181.2,-60.1,288.0,-120.54,-0.44,-90.01
2026-02-19T09:57:45.581+02:00,54.197,19,move:named:Down:edited,1,0,2.54,-35.15,52.99,-58.79,-2.72,1.31,181.0,-61.3,287.3,-130.9,-0.78,-90.37
2026-02-19T09:57:48.659+02:00,57.2746,20,move:named:Down:edited,1,0,2.46,-24.52,29.35,-51.32,-2.02,1.31,181.3,-60.1,287.9,-136.45,-0.55,-89.88
2026-02-19T09:57:51.735+02:00,60.3503,21,move:home:edited,1,0,3.42,-85.86,123.66,-37.7,-2.46,0.7,180.4,-58.1,290.2,-89.91,0.7,-89.03
2026-02-19T09:57:54.816+02:00,63.4312,22,move:named:Right:edited,1,0,34.36,-73.56,130.34,-56.86,-43.85,0.43,180.8,-58.5,289.9,-90.06,0.37,-99.49
2026-02-19T09:57:57.896+02:00,66.5111,23,move:named:Right:edited,1,0,64.95,-64.77,132.09,-67.14,-84.81,0.35,180.2,-59.4,290.3,-89.98,0.52,-109.86
2026-02-19T09:58:00.971+02:00,69.5868,24,move:named:Right:edited,1,0,64.95,-77.25,129.46,-51.32,-94.57,0.35,179.6,-61.1,289.2,-90.07,1.22,-119.62
2026-02-19T09:58:04.059+02:00,72.6742,25,move:named:Right:edited,1,0,61.34,-88.76,121.55,-32.51,-101.16,0.35,179.9,-59.8,289.2,-90.05,0.61,-129.81
2026-02-19T09:58:07.144+02:00,75.7597,26,move:named:Right:edited,1,0,58.71,-92.98,115.31,-22.41,-104.32,0.35,180.4,-59.5,289.3,-89.97,0.26,-135.61
2026-02-19T09:58:10.239+02:00,78.8541,27,move:home,1,0,34.18,-48.51,131.92,-84.55,-35.41,0.26,151.9,-61.4,288.3,-90.93,-0.39,-91.22
2026-02-19T09:58:13.322+02:00,81.9379,28,move:named:UP:edited,1,0,3.77,-102.39,128.58,-16.69,-4.48,-0.35,180.8,-61.4,288.5,-80.44,0.39,-90.69
