timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-19T09:25:05.836+02:00,9.3436,4,move:home,0,0,10.1,-66.62,131.92,-65.65,-9.31,-0.35,151.0,-58.1,289.4,-90.34,-0.4,-89.2
2026-02-19T09:25:10.448+02:00,13.955,5,move:named:Left:edited,0,0,-24.34,-88.68,121.64,-33.31,33.75,-0.26,151.1,-61.3,288.7,-90.29,-0.06,-80.59
2026-02-19T09:25:13.525+02:00,17.032,6,move:named:Left:edited,0,0,-36.82,-95.36,108.89,-13.35,56.42,-0.26,150.0,-61.1,289.5,-89.9,-0.41,-70.48
2026-02-19T09:25:16.600+02:00,20.1077,7,move:named:Left:edited,0,0,-42.09,-96.85,94.57,2.28,71.71,-0.17,150.8,-61.0,289.0,-90.0,-0.17,-60.38
2026-02-19T09:25:19.676+02:00,23.1837,8,move:named:Left:edited,0,0,-44.29,-95.09,78.48,16.52,84.02,-0.17,150.7,-61.1,288.4,-90.0,-0.08,-50.27
2026-02-19T09:25:22.750+02:00,26.2577,9,move:named:Left:edited,0,0,-44.29,-93.16,69.52,23.46,89.03,-0.17,151.5,-61.0,288.1,-90.0,0.0,-45.26
2026-02-19T09:25:32.251+02:00,35.7586,10,move:home,0,0,10.1,-66.62,131.92,-66.18,-9.84,-0.17,151.7,-59.1,288.2,-90.86,-0.32,-89.73
2026-02-19T09:25:35.328+02:00,38.8349,11,move:named:Down:edited,0,0,9.4,-54.58,118.56,-73.65,-9.84,1.4,150.3,-61.1,290.5,-99.52,-0.25,-90.53
2026-02-19T09:25:38.403+02:00,41.9107,12,move:named:Down:edited,0,0,7.11,-45.61,101.77,-76.11,-7.55,2.1,150.6,-61.7,289.9,-109.77,-0.58,-90.7
2026-02-19T09:25:41.480+02:00,44.9873,13,move:named:Down:edited,0,0,5.18,-37.0,81.82,-75.49,-4.92,2.28,150.7,-60.7,288.1,-120.55,-0.54,-90.21
2026-02-19T09:25:44.558+02:00,48.0653,14,move:named:Down:edited,0,0,4.04,-26.8,56.6,-70.31,-3.16,2.28,150.7,-59.8,288.6,-130.44,-0.31,-89.84
2026-02-19T09:25:47.635+02:00,51.1423,15,move:named:Down:edited,0,0,3.51,-18.45,35.94,-63.63,-2.46,2.28,151.1,-59.6,289.0,-136.08,-0.18,-89.83
2026-02-19T09:25:52.649+02:00,56.1562,16,move:home,0,0,10.01,-66.09,131.92,-65.47,-9.22,0.52,149.3,-58.4,291.0,-89.65,0.58,-89.2
