timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-19T09:07:19.366+02:00,18.5308,4,move:home,0,0,9.93,-66.62,131.92,-66.18,-9.75,-0.35,151.5,-59.4,288.2,-90.86,-0.5,-89.81
2026-02-19T09:07:23.976+02:00,23.1405,5,move:named:Left:edited,0,0,-24.34,-88.68,121.64,-32.95,33.57,-0.26,150.7,-61.3,289.3,-90.0,-0.26,-80.68
2026-02-19T09:07:27.053+02:00,26.2169,6,move:named:Left:edited,0,0,-36.91,-95.36,108.89,-13.27,56.25,-0.26,150.0,-61.4,289.6,-89.85,-0.48,-70.66
2026-02-19T09:07:30.128+02:00,29.2928,7,move:named:Left:edited,0,0,-42.09,-96.85,94.57,1.84,71.71,-0.17,151.2,-61.4,288.7,-90.13,0.24,-60.38
2026-02-19T09:07:33.204+02:00,32.3688,8,move:named:Left:edited,0,0,-44.29,-95.18,78.48,16.52,84.02,-0.17,150.9,-61.3,288.2,-90.01,0.0,-50.27
2026-02-19T09:07:39.711+02:00,38.875,9,move:named:Left:edited,0,0,-44.29,-93.16,69.52,22.85,89.2,-0.17,151.8,-61.2,288.0,-90.01,0.61,-45.08
2026-02-19T09:07:45.824+02:00,44.988,10,move:home,0,0,10.1,-66.62,131.92,-65.65,-9.31,-0.17,151.0,-58.1,289.4,-90.34,-0.23,-89.2
2026-02-19T09:07:48.899+02:00,48.0628,11,move:named:Down:edited,0,0,9.4,-54.58,118.56,-74.35,-9.31,1.4,150.9,-59.8,288.8,-100.23,-0.28,-90.01
2026-02-19T09:07:52.370+02:00,51.5347,12,move:named:Down:edited,0,0,7.11,-45.52,101.68,-76.55,-7.47,2.1,150.7,-61.5,288.9,-110.21,-0.61,-90.61
2026-02-19T09:07:55.448+02:00,54.6123,13,move:named:Down:edited,0,0,5.18,-37.0,81.82,-75.49,-4.92,2.28,150.7,-60.7,288.1,-120.55,-0.54,-90.21
2026-02-19T09:07:58.525+02:00,57.6889,14,move:named:Down:edited,0,0,3.86,-26.8,56.6,-70.31,-3.16,2.28,150.5,-60.3,288.6,-130.44,-0.31,-90.02
2026-02-19T09:08:01.599+02:00,60.7635,15,move:named:Down:edited,0,0,3.51,-18.36,35.94,-63.63,-2.54,2.28,150.8,-59.8,289.2,-135.99,-0.24,-89.89
2026-02-19T09:08:06.656+02:00,65.82,16,move:home,0,0,9.93,-66.09,131.92,-65.47,-9.22,0.52,149.2,-58.6,291.0,-89.65,0.58,-89.29
