timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-19T08:56:05.025+02:00,57.9471,6,move:named:Left:edited,0,0,-38.93,-96.67,108.89,-10.1,58.09,2.19,146.1,-62.4,289.6,-88.88,0.4,-70.81
2026-02-19T08:56:08.101+02:00,61.0234,7,move:named:Left:edited,0,0,-44.03,-97.64,92.98,8.17,73.3,3.95,146.4,-62.4,289.3,-88.99,0.58,-60.69
2026-02-19T08:56:19.439+02:00,72.3611,8,move:named:Left:edited,0,0,-45.87,-92.63,66.44,37.96,85.34,12.83,146.9,-62.7,287.8,-89.05,1.09,-50.42
2026-02-19T08:56:30.915+02:00,83.8377,9,move:named:Left,0,0,-45.87,-83.75,94.04,-60.9,90.87,-47.72,148.5,-63.8,286.9,-89.25,2.89,-45.22
2026-02-19T08:56:37.219+02:00,90.142,10,move:home,0,0,10.1,-66.62,131.92,-65.56,-9.22,-0.43,150.9,-57.9,289.6,-90.26,-0.48,-89.11
