timestamp_local,t_sec,step_index,step_action,vacuum_on,atomic_snapshot,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
2026-02-18T17:54:12.867+02:00,8.1506,6,move:named:Left#1/10,1,0,-9.4,-79.45,128.58,-51.41,13.18,-0.7,153.2,-60.6,284.3,-92.22,-0.18,-86.2
2026-02-18T17:54:15.906+02:00,11.1893,6,move:named:Left#2/10,1,0,-20.3,-86.74,124.1,-39.72,29.35,-1.14,153.6,-58.7,284.2,-92.06,0.02,-80.92
2026-02-18T17:54:18.944+02:00,14.2275,6,move:named:Left#3/10,1,0,-27.94,-91.4,119.0,-29.79,41.57,-1.31,153.0,-58.6,284.9,-91.64,0.14,-76.36
2026-02-18T17:54:21.982+02:00,17.2653,6,move:named:Left#4/10,1,0,-33.13,-94.39,113.73,-21.44,51.5,-1.31,152.3,-57.7,285.4,-91.31,0.33,-71.61
2026-02-18T17:54:25.019+02:00,20.3023,6,move:named:Left#5/10,1,0,-37.0,-96.32,108.01,-13.62,58.97,-1.31,152.4,-59.4,285.8,-90.99,0.33,-68.01
2026-02-18T17:54:28.055+02:00,23.3393,6,move:named:Left#6/10,1,0,-39.46,-97.38,101.95,-6.24,65.91,-1.31,152.4,-59.0,286.2,-90.68,0.2,-63.53
2026-02-18T17:54:31.102+02:00,26.3862,6,move:named:Left#7/10,1,0,-41.39,-97.47,95.53,0.96,72.07,-1.31,151.5,-58.8,287.1,-90.29,-0.39,-59.32
2026-02-18T17:54:34.140+02:00,29.4233,6,move:named:Left#8/10,1,0,-42.71,-97.47,88.41,8.17,77.51,-0.79,152.4,-60.1,286.2,-90.18,0.06,-55.19
2026-02-18T17:54:37.187+02:00,32.4706,6,move:named:Left#9/10,1,0,-43.59,-96.32,80.06,16.52,82.79,0.87,152.3,-60.4,286.3,-89.96,0.61,-50.8
2026-02-18T17:54:40.227+02:00,35.5108,6,move:named:Left#10/10,1,0,-43.59,-92.54,64.33,35.59,87.27,7.91,152.8,-59.8,286.1,-89.65,0.53,-46.29
2026-02-18T17:54:44.785+02:00,40.0687,7,move:named:Down#1/10,1,0,-43.41,-88.59,94.65,-38.75,81.91,-29.0,154.9,-62.6,283.0,-94.36,3.42,-50.49
2026-02-18T17:54:47.824+02:00,43.1078,7,move:named:Down#2/10,1,0,-42.01,-79.98,94.65,-51.67,74.7,-33.22,154.5,-61.5,283.2,-99.14,2.75,-54.77
2026-02-18T17:54:50.862+02:00,46.1455,7,move:named:Down#3/10,1,0,-39.81,-72.59,93.25,-57.39,66.79,-33.22,153.1,-59.9,284.6,-103.63,1.19,-59.06
2026-02-18T17:54:53.900+02:00,49.1838,7,move:named:Down#4/10,1,0,-36.65,-65.74,90.26,-61.34,58.18,-31.99,153.2,-60.0,284.3,-108.42,0.45,-63.21
2026-02-18T17:54:56.938+02:00,52.222,7,move:named:Down#5/10,1,0,-32.08,-58.88,86.39,-63.89,48.6,-28.56,153.2,-59.6,284.5,-113.09,0.33,-67.58
2026-02-18T17:54:59.976+02:00,55.2597,7,move:named:Down#6/10,1,0,-26.19,-52.03,81.38,-66.0,38.67,-24.34,153.3,-58.6,284.4,-117.77,0.52,-71.53
2026-02-18T17:55:03.014+02:00,58.2978,7,move:named:Down#7/10,1,0,-19.07,-45.0,75.05,-66.97,27.86,-19.07,153.3,-57.9,285.6,-122.07,0.23,-75.74
2026-02-18T17:55:06.052+02:00,61.3356,7,move:named:Down#8/10,1,0,-11.16,-37.79,66.79,-68.02,16.78,-12.91,153.4,-57.9,285.0,-127.07,0.2,-80.09
2026-02-18T17:55:09.090+02:00,64.3735,7,move:named:Down#9/10,1,0,-3.16,-30.14,55.81,-68.11,6.59,-5.8,153.6,-57.5,284.3,-132.1,0.14,-84.39
2026-02-18T17:55:12.127+02:00,67.4113,7,move:named:Down#10/10,1,0,3.51,-21.53,40.51,-66.26,-1.75,1.66,153.4,-57.9,283.3,-137.25,-0.15,-88.9
2026-02-18T17:55:16.685+02:00,71.9687,8,move:named:Right#1/10,1,0,11.68,-24.43,54.75,-73.56,-10.98,10.19,153.2,-57.4,284.8,-132.26,0.02,-93.25
2026-02-18T17:55:19.724+02:00,75.0076,8,move:named:Right#2/10,1,0,25.92,-21.88,61.87,-83.32,-26.1,22.41,153.4,-57.3,284.2,-128.11,-0.15,-97.95
2026-02-18T17:55:22.762+02:00,78.0456,8,move:named:Right#3/10,1,0,25.92,-21.88,61.87,-83.4,-26.27,22.41,153.5,-57.6,284.3,-128.04,-0.25,-98.08
2026-02-18T17:55:25.800+02:00,81.0838,8,move:named:Right#4/10,1,0,25.92,-21.88,61.87,-83.49,-26.27,22.41,153.4,-57.7,284.1,-128.11,-0.3,-98.08
2026-02-18T17:55:28.838+02:00,84.1218,8,move:named:Right#5/10,1,0,25.92,-21.88,61.87,-83.49,-26.27,22.41,153.4,-57.7,284.1,-128.11,-0.3,-98.08
2026-02-18T17:55:31.876+02:00,87.16,8,move:named:Right#6/10,1,0,25.92,-21.88,61.87,-83.49,-26.27,22.41,153.4,-57.7,284.1,-128.11,-0.3,-98.08
2026-02-18T17:55:34.924+02:00,90.2078,8,move:named:Right#7/10,1,0,25.92,-21.88,61.87,-83.49,-26.27,22.41,153.4,-57.7,284.1,-128.11,-0.3,-98.08
2026-02-18T17:55:37.963+02:00,93.2464,8,move:named:Right#8/10,1,0,25.92,-21.88,61.87,-83.49,-26.27,22.41,153.4,-57.7,284.1,-128.11,-0.3,-98.08
2026-02-18T17:55:41.000+02:00,96.2839,8,move:named:Right#9/10,1,0,25.92,-21.88,61.87,-83.49,-26.27,22.41,153.4,-57.7,284.1,-128.11,-0.3,-98.08
2026-02-18T17:55:44.044+02:00,99.3279,8,move:named:Right#10/10,1,0,91.23,-75.14,130.25,-53.43,-136.75,0.43,150.8,-62.4,286.7,-91.21,1.58,-135.54
2026-02-18T17:55:48.602+02:00,103.8856,9,move:named:UP#1/10,1,0,91.23,-75.14,130.25,-54.22,-136.93,0.08,150.5,-61.7,288.0,-90.64,0.68,-135.7
2026-02-18T17:55:51.640+02:00,106.9242,9,move:named:UP#2/10,1,0,91.23,-75.14,130.25,-54.31,-136.93,-0.08,150.5,-61.5,288.2,-90.57,0.45,-135.7
2026-02-18T17:55:54.688+02:00,109.9719,9,move:named:UP#3/10,1,0,91.23,-75.14,130.25,-54.4,-137.9,-0.08,148.9,-62.9,288.3,-90.52,0.38,-136.67
2026-02-18T17:55:57.726+02:00,113.0101,9,move:named:UP#4/10,1,0,91.23,-75.14,130.25,-54.4,-137.9,-0.08,148.9,-62.9,288.3,-90.52,0.38,-136.67
2026-02-18T17:56:00.764+02:00,116.0478,9,move:named:UP#5/10,1,0,91.23,-75.14,130.25,-54.4,-137.9,-0.08,148.9,-62.9,288.3,-90.52,0.38,-136.67
